model,scheme,layer,resample,baseline_len,baseline_gsm8k,peak_len,peak_len_alpha,first_collapse_abs_alpha,gsm8k_safe_abs_alpha,residual_norm,parser,probe,run_tag
Qwen2.5-7B-Instruct,int8,14,1,198.0,0.91,230.5,40.0,60.0,20.0,267.05,v2.3.1,gsm8k,Qwen2-5-7B-Instruct_w8a16_bnb_int8_length_L14_r1
Qwen2.5-7B-Instruct,int8,14,2,275.5,0.925,304.0,15.0,60.0,20.0,267.05,v2.3.1,gsm8k,Qwen2-5-7B-Instruct_w8a16_bnb_int8_length_L14_r2
Qwen2.5-7B-Instruct,int8,14,3,263.0,0.92,383.0,-60.0,60.0,20.0,267.05,v2.3,gsm8k,Qwen2-5-7B-Instruct_w8a16_bnb_int8_length_L14_r3
Qwen2.5-7B-Instruct,int8,14,4,201.0,0.905,232.5,5.0,60.0,20.0,267.05,v2.3.1,gsm8k,Qwen2-5-7B-Instruct_w8a16_bnb_int8_length_L14_r4
Qwen2.5-7B-Instruct,int8,14,5,174.0,0.87,252.0,20.0,60.0,20.0,267.05,v2.3.1,gsm8k,Qwen2-5-7B-Instruct_w8a16_bnb_int8_length_L14_r5
Qwen2.5-7B-Instruct,nf4,14,1,204.0,0.885,265.0,40.0,-60.0,20.0,263.39,v2.3.1,gsm8k,Qwen2-5-7B-Instruct_w4a16_bnb_nf4_length_L14_r1
Qwen2.5-7B-Instruct,nf4,14,2,236.0,0.855,725.0,60.0,-60.0,0.0,263.39,v2.3.1,gsm8k,Qwen2-5-7B-Instruct_w4a16_bnb_nf4_length_L14_r2
Qwen2.5-7B-Instruct,nf4,14,3,201.5,0.895,283.0,10.0,-60.0,20.0,263.39,v2.3.1,gsm8k,Qwen2-5-7B-Instruct_w4a16_bnb_nf4_length_L14_r3
Qwen2.5-7B-Instruct,nf4,14,4,212.0,0.89,239.5,10.0,-60.0,20.0,263.39,v2.3.1,gsm8k,Qwen2-5-7B-Instruct_w4a16_bnb_nf4_length_L14_r4
Qwen2.5-7B-Instruct,nf4,14,5,188.5,0.86,275.0,60.0,-60.0,0.0,263.39,v2.3.1,gsm8k,Qwen2-5-7B-Instruct_w4a16_bnb_nf4_length_L14_r5
gemma-2-9b-it,fp16,21,1,122.5,0.815,188.0,250.0,-300.0,0.0,405.96,v2.3,gsm8k,gemma-2-9b-it_fp16_length_L21_r1
